show_id,type,date_added,release_year,rating,duration
s1,Movie,"September 25, 2021",2020,PG-13,90 min
s2,TV Show,"September 24, 2021",2021,TV-MA,2 Seasons
s3,TV Show,"September 24, 2021",2021,TV-MA,1 Season
s4,TV Show,"September 24, 2021",2021,TV-MA,1 Season
s5,TV Show,"September 24, 2021",2021,TV-MA,2 Seasons
s6,TV Show,"September 24, 2021",2021,TV-MA,1 Season
s7,Movie,"September 24, 2021",2021,PG,91 min
s8,Movie,"September 24, 2021",1993,TV-MA,125 min
s9,TV Show,"September 24, 2021",2021,TV-14,9 Seasons
s10,Movie,"September 24, 2021",2021,PG-13,104 min
s11,TV Show,"September 24, 2021",2021,TV-MA,1 Season
s12,TV Show,"September 23, 2021",2021,TV-MA,1 Season
s13,Movie,"September 23, 2021",2021,TV-MA,127 min
s14,Movie,"September 22, 2021",2021,TV-PG,91 min
s15,TV Show,"September 22, 2021",2021,TV-MA,1 Season
s16,TV Show,"September 22, 2021",2021,TV-MA,4 Seasons
s17,Movie,"September 22, 2021",2020,TV-MA,67 min
s18,TV Show,"September 22, 2021",2020,TV-MA,2 Seasons
s19,Movie,"September 22, 2021",2021,TV-14,94 min
s20,TV Show,"September 22, 2021",2021,TV-MA,1 Season
s21,TV Show,"September 22, 2021",2021,TV-14,1 Season
s22,TV Show,"September 22, 2021",2018,TV-14,5 Seasons
s23,Movie,"September 21, 2021",1996,TV-PG,161 min
s24,Movie,"September 21, 2021",2021,TV-Y,61 min
s25,Movie,"September 21, 2021",1998,TV-14,166 min
s26,TV Show,"September 21, 2021",2021,TV-14,2 Seasons
s27,Movie,"September 21, 2021",1997,TV-PG,147 min
s28,Movie,"September 20, 2021",2010,PG-13,103 min
s29,Movie,"September 19, 2021",2013,PG-13,97 min
s30,Movie,"September 19, 2021",2013,PG-13,106 min
s31,Movie,"September 17, 2021",2021,TV-14,111 min
s32,TV Show,"September 17, 2021",2021,TV-MA,1 Season
s33,TV Show,"September 17, 2021",2020,TV-MA,3 Seasons
s34,TV Show,"September 17, 2021",2021,TV-MA,1 Season
s35,TV Show,"September 17, 2021",2020,TV-Y7,1 Season
s36,Movie,"September 17, 2021",2021,TV-MA,110 min
s37,Movie,"September 17, 2021",2021,TV-MA,105 min
s38,TV Show,"September 16, 2021",2018,TV-Y7,1 Season
s39,Movie,"September 16, 2021",2017,PG-13,96 min
s40,TV Show,"September 16, 2021",2021,TV-Y7,3 Seasons
s41,TV Show,"September 16, 2021",2021,TV-Y7,1 Season
